epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.593,1.35762,3.10262,1.13516,0.89159,0.04412,0.14304,0.08675,1.11935,3.59092,0.94728,0.00062,0.00062,0.00062
2,954.556,1.39488,2.17898,1.16059,0.06415,0.01471,0.03086,0.01699,1.41312,3.7508,1.23255,0.00123505,0.00123505,0.00123505
3,1415.5,1.55948,2.07598,1.24191,0.47762,0.30882,0.26945,0.12751,1.71384,3.70352,1.28364,0.00182476,0.00182476,0.00182476
4,1847.66,1.52212,1.93261,1.23126,0.30993,0.33088,0.2802,0.11441,1.50164,3.18104,1.26221,0.0018812,0.0018812,0.0018812
5,2273.71,1.56483,1.69655,1.20771,0.85313,0.47059,0.60679,0.32169,1.47492,1.92114,1.22052,0.0018416,0.0018416,0.0018416
6,2726.64,1.46367,1.48839,1.19647,0.73952,0.69853,0.71969,0.41658,1.31002,1.85278,1.14664,0.001802,0.001802,0.001802
7,3197.73,1.48755,1.4237,1.19588,0.51178,0.58088,0.44527,0.27351,1.22781,1.88819,1.10978,0.0017624,0.0017624,0.0017624
8,3648.83,1.48489,1.3078,1.19168,0.64109,0.625,0.6549,0.41065,1.19971,1.55779,1.07329,0.0017228,0.0017228,0.0017228
9,4088.59,1.46494,1.24803,1.19305,0.80143,0.67647,0.73823,0.46464,1.22454,1.28196,1.0925,0.0016832,0.0016832,0.0016832
10,4511.49,1.40219,1.18279,1.17016,0.88542,0.69853,0.78603,0.47003,1.23385,1.18018,1.04534,0.0016436,0.0016436,0.0016436
11,4905.25,1.37685,1.13119,1.1114,0.82666,0.70132,0.74319,0.47141,1.20599,1.26922,1.05077,0.001604,0.001604,0.001604
12,5315.64,1.35696,1.04921,1.16415,0.84319,0.71169,0.7643,0.46523,1.22417,1.10519,1.0739,0.0015644,0.0015644,0.0015644
13,5702.04,1.37998,1.07927,1.13988,0.92451,0.75735,0.81299,0.52225,1.13483,1.01511,1.09642,0.0015248,0.0015248,0.0015248
14,6104.7,1.37327,1.04307,1.12617,0.88912,0.76471,0.8057,0.52994,1.09642,0.93965,1.02614,0.0014852,0.0014852,0.0014852
15,6518.42,1.33029,0.98618,1.11143,0.96844,0.67697,0.78473,0.529,1.15379,1.07355,1.03613,0.0014456,0.0014456,0.0014456
16,6903.77,1.27742,0.96198,1.09581,0.85889,0.72794,0.77324,0.52315,1.11232,0.97862,1.02286,0.001406,0.001406,0.001406
17,7291.53,1.30282,0.94121,1.11167,0.92537,0.72943,0.79262,0.50461,1.22142,0.91858,1.06226,0.0013664,0.0013664,0.0013664
18,7666.1,1.3247,0.89748,1.09493,0.95261,0.73899,0.79544,0.5093,1.06032,0.90119,1.02609,0.0013268,0.0013268,0.0013268
19,8066.22,1.2715,0.87323,1.08087,0.92201,0.73529,0.81025,0.52847,1.11734,0.88444,1.02941,0.0012872,0.0012872,0.0012872
20,8451.99,1.23534,0.84535,1.06415,0.92765,0.7542,0.81219,0.55903,1.05025,0.85827,0.99609,0.0012476,0.0012476,0.0012476
21,8838.63,1.24126,0.85426,1.06909,0.93383,0.76471,0.80785,0.54824,1.07702,0.89033,1.01204,0.001208,0.001208,0.001208
22,9229.17,1.20386,0.83301,1.06438,0.93636,0.75734,0.80539,0.56156,1.08294,0.85598,1.0126,0.0011684,0.0011684,0.0011684
23,9612.09,1.24509,0.81775,1.0899,0.90565,0.77638,0.82307,0.56139,1.04949,0.78314,0.99737,0.0011288,0.0011288,0.0011288
24,10008.8,1.21343,0.81088,1.08745,0.95668,0.74265,0.83162,0.54667,1.09692,0.78331,1.02842,0.0010892,0.0010892,0.0010892
25,10441.3,1.19793,0.81459,1.06181,0.92746,0.76471,0.83046,0.56609,1.08072,0.82847,1.02017,0.0010496,0.0010496,0.0010496
26,10867.7,1.20681,0.77372,1.05288,0.9599,0.73529,0.83425,0.56478,1.05108,0.7078,1.0134,0.00101,0.00101,0.00101
27,11280.4,1.12741,0.73213,1.04072,0.95129,0.75735,0.8398,0.54746,1.09196,0.783,1.01867,0.0009704,0.0009704,0.0009704
28,11660.9,1.13962,0.75362,1.0365,0.96113,0.72059,0.82591,0.58482,1.01138,0.8431,0.99033,0.0009308,0.0009308,0.0009308
29,12080.1,1.16148,0.74976,1.05106,0.95392,0.76106,0.82166,0.58369,0.99107,0.71069,0.98921,0.0008912,0.0008912,0.0008912
30,12482.6,1.16429,0.73619,1.06237,0.94725,0.73529,0.83421,0.5887,0.95769,0.69478,0.98046,0.0008516,0.0008516,0.0008516
31,12908.1,1.14603,0.70846,1.02175,0.91728,0.77206,0.83135,0.591,0.97445,0.6897,0.98013,0.000812,0.000812,0.000812
32,13317.6,1.17107,0.72157,1.05508,0.94179,0.71377,0.81344,0.56992,1.00616,0.73922,0.98945,0.0007724,0.0007724,0.0007724
33,13740.6,1.1394,0.7024,1.05928,0.96239,0.75735,0.83817,0.57167,0.96563,0.67263,0.98083,0.0007328,0.0007328,0.0007328
34,14173.3,1.1137,0.66013,1.03528,0.96987,0.75,0.84743,0.57916,1.0636,0.69654,1.01127,0.0006932,0.0006932,0.0006932
35,14576.7,1.13361,0.67455,1.02425,0.93911,0.77206,0.84519,0.59822,0.98902,0.6594,0.98557,0.0006536,0.0006536,0.0006536
36,14958.3,1.11069,0.67959,1.01993,0.97111,0.77206,0.86158,0.59539,0.94134,0.62039,0.97232,0.000614,0.000614,0.000614
37,15345.6,1.04778,0.64438,1.01565,0.93889,0.78676,0.86133,0.57112,1.06522,0.66152,0.97948,0.0005744,0.0005744,0.0005744
38,15749.7,1.07043,0.65639,1.01359,0.95487,0.77781,0.83403,0.57417,1.00677,0.685,1.00123,0.0005348,0.0005348,0.0005348
39,16165.1,1.03632,0.62026,0.99339,0.93906,0.79319,0.82848,0.59126,0.94566,0.66004,0.96493,0.0004952,0.0004952,0.0004952
40,16590.5,1.05832,0.64113,1.02864,0.92975,0.77859,0.83805,0.60538,0.95307,0.63815,0.96708,0.0004556,0.0004556,0.0004556
41,16981.9,1.0494,0.61696,1.00144,0.94025,0.77206,0.83842,0.60371,0.90742,0.63122,0.96013,0.000416,0.000416,0.000416
42,17430.2,1.01968,0.58994,0.97145,0.94551,0.76471,0.83978,0.61023,0.90801,0.62827,0.95873,0.0003764,0.0003764,0.0003764
43,17823.8,1.01733,0.59962,0.97434,0.93823,0.78676,0.84192,0.60116,0.91918,0.63621,0.96045,0.0003368,0.0003368,0.0003368
44,18192.4,1.01914,0.57731,0.97227,0.95995,0.75735,0.8447,0.60515,0.95738,0.63779,0.95164,0.0002972,0.0002972,0.0002972
45,18615.6,0.98029,0.57091,0.96632,0.91316,0.78676,0.84283,0.60614,0.94847,0.63868,0.95433,0.0002576,0.0002576,0.0002576
46,19040.6,0.96644,0.56339,0.94789,0.88776,0.80147,0.83887,0.60466,0.91185,0.61244,0.95443,0.000218,0.000218,0.000218
47,19468.9,0.99167,0.57507,0.96452,0.92626,0.77941,0.83842,0.5985,0.95944,0.60651,0.95208,0.0001784,0.0001784,0.0001784
48,19898.1,0.94593,0.55777,0.9493,0.92533,0.77941,0.83753,0.60321,0.92058,0.58421,0.94761,0.0001388,0.0001388,0.0001388
49,20332.2,0.94292,0.53354,0.94552,0.92966,0.77747,0.83996,0.60094,0.93489,0.58629,0.95087,9.92e-05,9.92e-05,9.92e-05
50,20759.2,0.94998,0.54801,0.9622,0.91221,0.78676,0.83439,0.60402,0.92928,0.60377,0.9517,5.96e-05,5.96e-05,5.96e-05
